city,panels,capacity_kw,irradiance,annual_kwh,monthly_kwh,gross_cost,subsidy,net_cost,annual_savings,payback_years,savings_25yr,savings_25yr_with_inflation,co2_kg_yr,trees
Nagpur,6,3.3,5.8,5309,442,198000,78000,120000,42475,2.8,941875,2210396,433,241
Nagpur,12,6.6,5.8,10618,884,396000,78000,318000,84950,3.7,1805750,4342793,866,482
Nagpur,20,11.0,5.8,17698,1474,660000,78000,582000,141584,4.1,2957600,7185989,1444,804
Jaipur,6,3.3,5.97,5465,455,198000,78000,120000,43720,2.7,973000,2278701,445,248
Jaipur,12,6.6,5.97,10930,910,396000,78000,318000,87440,3.6,1868000,4479403,891,496
Jaipur,20,11.0,5.97,18216,1518,660000,78000,582000,145734,4.0,3061350,7413672,1486,828
Ahmedabad,6,3.3,5.99,5483,456,198000,78000,120000,43866,2.7,976650,2286737,447,249
Ahmedabad,12,6.6,5.99,10966,913,396000,78000,318000,87733,3.6,1875325,4495475,894,498
Ahmedabad,20,11.0,5.99,18277,1523,660000,78000,582000,146223,4.0,3073575,7440458,1491,830
Mumbai,6,3.3,5.52,5053,421,198000,78000,120000,40424,3.0,890600,2097895,412,229
Mumbai,12,6.6,5.52,10106,842,396000,78000,318000,80849,3.9,1703225,4117790,824,459
Mumbai,20,11.0,5.52,16843,1403,660000,78000,582000,134749,4.3,2786725,6810983,1374,765
Pune,6,3.3,5.55,5080,423,198000,78000,120000,40644,3.0,896100,2109948,414,230
Pune,12,6.6,5.55,10161,846,396000,78000,318000,81289,3.9,1714225,4141897,829,461
Pune,20,11.0,5.55,16935,1411,660000,78000,582000,135482,4.3,2805050,6851162,1381,769
Delhi,6,3.3,5.61,5135,427,198000,78000,120000,41084,2.9,907100,2134056,419,233
Delhi,12,6.6,5.61,10271,855,396000,78000,318000,82168,3.9,1736200,4190112,838,466
Delhi,20,11.0,5.61,17118,1426,660000,78000,582000,136946,4.2,2841650,6931521,1396,778
Bangalore,6,3.3,5.83,5336,444,198000,78000,120000,42695,2.8,947375,2222450,435,242
Bangalore,12,6.6,5.83,10673,889,396000,78000,318000,85390,3.7,1816750,4366901,870,485
Bangalore,20,11.0,5.83,17789,1482,660000,78000,582000,142317,4.1,2975925,7226168,1451,808
Hyderabad,6,3.3,5.82,5327,443,198000,78000,120000,42621,2.8,945525,2218432,434,242
Hyderabad,12,6.6,5.82,10655,887,396000,78000,318000,85243,3.7,1813075,4358865,869,484
Hyderabad,20,11.0,5.82,17759,1479,660000,78000,582000,142073,4.1,2969825,7212775,1449,807
Chennai,6,3.3,5.94,5437,453,198000,78000,120000,43500,2.8,967500,2266647,443,247
Chennai,12,6.6,5.94,10875,906,396000,78000,318000,87001,3.7,1857025,4455295,887,494
Chennai,20,11.0,5.94,18125,1510,660000,78000,582000,145002,4.0,3043050,7373492,1479,823
Kolkata,6,3.3,5.0,4577,381,198000,78000,120000,36616,3.3,795400,1888962,373,208
Kolkata,12,6.6,5.0,9154,762,396000,78000,318000,73233,4.3,1512825,3699925,746,416
Kolkata,20,11.0,5.0,15257,1271,660000,78000,582000,122056,4.8,2469400,6114542,1244,693
Lucknow,6,3.3,5.4,4943,411,198000,78000,120000,39546,3.0,868650,2049679,403,224
Lucknow,12,6.6,5.4,9886,823,396000,78000,318000,79092,4.0,1659300,4021359,806,449
Lucknow,20,11.0,5.4,16477,1373,660000,78000,582000,131820,4.4,2713500,6650266,1344,748
Bhopal,6,3.3,5.65,5172,431,198000,78000,120000,41376,2.9,914400,2150128,422,235
Bhopal,12,6.6,5.65,10344,862,396000,78000,318000,82753,3.8,1750825,4222256,844,470
Bhopal,20,11.0,5.65,17240,1436,660000,78000,582000,137923,4.2,2866075,6985093,1406,783
Kochi,6,3.3,5.1,4668,389,198000,78000,120000,37349,3.2,813725,1929142,380,212
Kochi,12,6.6,5.1,9337,778,396000,78000,318000,74698,4.3,1549450,3780284,761,424
Kochi,20,11.0,5.1,15562,1296,660000,78000,582000,124497,4.7,2530425,6248473,1269,707
